Title,Schedule,Address,Editor-Notes,Category,ALPD_Entry,Language
Sasnanio ,fortnightly,"1343 East Ferry Street, Detroit, Michigan",Not Listed,Communist,"Sasnanio (fortnightly). Bulgarian. l343 East Ferry Street, Detroit, Mich.",Bulgarian
Rabotnicheska Prosyeta ,weekly,"Bulgarian Federation, Socialist Labor Party, 1404 Madison Avenue, Granite City, Illinois",S. S.  Saralieff,Socialist Labor,"Rabotnicheska Prosyeta (weekly). Fridays. Established 1911, 4 pages, $1.50, circulation 2,300. Bulgarian Federation, Socialist Labor Party, 1404 Madison Avenue, Granite City, Ill. S. S. Saralieff.",Bulgarian
Industrijalni Radnik ,fortnightly,"Industrial Workers of the World, 3333 West Belmont Avenue, Chicago, Illinois",Not Listed,Industrial Workers of the World,"Industrijalni Radnik (fortnightly). Croatian. Industrial Workers of the World, 3333 West Belmont Avenue, Chicago, Ill.",Croatian
Americke Delnicke Listy ,weekly,"Bohemian Socialistic Printing and Publishing Company, 4130 Broadway, Cleveland, Ohio",Joseph Martinek,Socialist,"Americke Delnicke Listy (weekly). Fridays. Established 1909, 20 pages, $3. Bohemian Socialistic Printing and Pub lishing Co., 4130 Broadway, Cleveland, Ohio. Joseph Martinek. Official organ, Bohemian (Czechoslovak) Federation of Socialist Party of the United States and endorsed by Czechoslovak Workers Council of Cleveland (labor organizations).",Czech
Obrana ,weekly,"Czechoslovak Section, Workers' Party of America, 326 East 73rd Street, New York, New York",Vaclav Abraham,Communist,"Obrana (weekly). Thursdays. Established 1910, 12 pages, $3, circulation 3,600. Czechoslovak Section, Workers' Party of America, 326 East 73rd Street, New York, N. Y. Vac lav Abraham.",Czech
Spravedlnost ,daily,"Czechoslovak Marxian Federation, 1825 South Lopmis Street, Chicago","V. Miniberger, Fr Kozumplik, F. Jirsa, A. Marek, J. Sverak",Communist,"Spravedlnost (daily). Established 1900, 8 pages, $8. Czecho slovak Marxian Federation, 1825 South Lopmis Street, Chicago, 1ll, V. Miniberger, Fr. Kozumplik, F. Jirsa, A. Marek, J. Sveraks. Federated Press.",Czech
Industrialisti ,daily,"The Workers' Socialist Publish ing Company Incorporated, 22-24 Lake Avenue North, Duluth, Minnesota","Hellin Vitikainen, K Laito, Manu Porre, Vaino Pelto, Andrew Vitikainen",Industrial Workers of the World,"Industrialisti (daily). Finnish. Established 1917, 4-6 pages, $4.50, circulation 9,000. The Workers' Socialist Publish ing Co. Inc., 22-24 Lake Avenue North, Duluth, Minn. Hellin Vitikainen, K. Laito, Manu Porre, Vaino Pelto, Andrew Vitikainens. Official organ, Industrial Workers of the World. Federated Press, Defense News Service. Uses mats.",Finnish
Tie Vapauteen ,monthly,"Industrial Workers of the World, 3333 West Belmont Avenue, Chicago, Illinois",Henry Aho,Industrial Workers of the World,"Tie Vapauteen (monthly). Finnish. Established 1918, 32 pages, $1.75, circulation 8,000. Industrial Workers of the World, 3333 West Belmont Avenue, Chicago, Ill. Henry Aho. Defense News Service.",Finnish
Nykyaika ,monthly,"Finnish Socialistic Publishing Company, 48 Wallace Avenue, Fitchburg, Massachusetts",W. N. Reivo,Socialist,"Nykyaika (monthly). Established 1907, 32 pages, $2, circulation 5,000. Finnish Socialistic Publishing Co., 48 Wallace Avenue, Fitchburg, Mass. W. N. Reivo. Official organ, Finnish Federation, Socialist Party. Uses mats.",Finnish
Raivaaja ,daily except Sunday,"Finnish Socialist Publishing Company, 48 Wallace Avenue, Fitchburg, Massachusetts","Syrjala, Lauri Moilanen, Yrjo Makela,  Usenius, Oskari Tokoi",Socialist,"Raivaaja (d. except Sunday). Established 1905, 6 pages, $6, circulation 6-7,000. Finnish Socialist Publishing Co., 48 Wallace Avenue, Fitchburg, Mass. F. J. Syrjala, Lauri Moilanen, Yrjo Makela, A. E. Usenius, Oskari Tokois. Official organ, Finnish Federation, Socialist Party. Uses mats.",Finnish
