Index-Category,Organization,Person
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Berres, Albert J."
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Beyer, Otto S."
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Brawn, Harry B."
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Cote, Louis J."
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Diehl, Herman C."
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Donlin, John"
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Duffy, Frank"
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Duncan, James"
American Federation of Labor and Affiliated Bodies,American Federation of Labor,Field. Anna E.
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Fischer, Jacob"
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Frayne, Hugh"
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Gompers, Samuel"
American Federation of Labor and Affiliated Bodies,American Federation of Labor,Green. William
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Hedrick, George F."
American Federation of Labor and Affiliated Bodies,American Federation of Labor,Jewell. Bert M.
American Federation of Labor and Affiliated Bodies,American Federation of Labor,Manning. John J.
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"McGrady, Edward F."
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Morrison, Frank"
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Noonan, James P."
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"O'Connell, James"
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Rickert, Thomas"
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Ryan, Martin F."
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Scott, John"
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Tobin, Daniel J."
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Tracy, William J."
American Federation of Labor and Affiliated Bodies,American Federation of Labor,Valentine. Joseph
American Federation of Labor and Affiliated Bodies,American Federation of Labor,Vargas. Canuto A.
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Wilson, James"
American Federation of Labor and Affiliated Bodies,American Federation of Labor,Woll. Matthew
American Federation of Labor and Affiliated Bodies,American Federation of Labor,"Wright, Chester M."
American Federation of Labor and Affiliated Bodies,"Actors and Artistes of America, Associated","Duizell, Paul"
American Federation of Labor and Affiliated Bodies,"Actors and Artistes of America, Associated","Emerson, John"
American Federation of Labor and Affiliated Bodies,"Actors and Artistes of America, Associated","Gillmore, Frank"
American Federation of Labor and Affiliated Bodies,"Actors and Artistes of America, Associated","Greenfield, Jean"
American Federation of Labor and Affiliated Bodies,"Actors and Artistes of America, Associated","Mountford, Harry"
American Federation of Labor and Affiliated Bodies,"Asbestos Workers, International Association of Heat and Frost Insulators and","McNamara, Thomas J."
American Federation of Labor and Affiliated Bodies,"Asbestos Workers, International Association of Heat and Frost Insulators and","Mullaney, Jos. A."
